"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m]"
-928.75,31.028478111280748,0.00959205340445714,-928.75,31.013764283068873,-0.024931623589322213,-928.75,31.01319073380735,0.0572442349765857,-928.75,31.01262087119895,-0.018492814462629268,-928.75,31.0120547904616,-0.04245924490375666
-923.75,31.007774399530298,-0.02423867107649711,-923.75,30.993155227171012,0.09212209097918678,-923.75,30.99257463137204,-0.01199376330010122,-923.75,30.99199776872706,-0.06242975820393413,-923.75,30.991424736676716,0.061825497902974015
-918.75,30.987160788919876,-0.010753008275107466,-918.75,30.972635983276785,0.007063826212397529,-918.75,30.97204822851878,0.01214439418832779,-918.75,30.97146425436373,-0.002996296352695481,-918.75,30.970884160537043,0.03130157956105419
-913.75,30.966639925248767,-0.06114198882140422,-913.75,30.952209196583148,0.03344303344788825,-913.75,30.95161416793307,-0.0038963395371026475,-913.75,30.951022968308916,-0.013090843006726988,-913.75,30.950435699784954,-0.08154188303170401
-908.75,30.94621430602643,-0.04849986983228562,-908.75,30.931877363915845,-0.011876995490094494,-908.75,30.931274943860306,0.07760429798135618,-908.75,30.93067640225451,-0.06211753196789375,-908.75,30.930081843587676,-0.042100644350742816
-903.75,30.925886287279983,-0.0006564074119447736,-903.75,30.9116428405349,0.03847091615367021,-903.75,30.91103290890895,0.06120576124070927,-903.75,30.9104269061851,-0.0547560927765157,-903.75,30.909824939335888,-0.025227661246965974
-898.75,30.905658090049805,0.01569743881169269,-898.75,30.891507846628226,0.02283319400618845,-898.75,30.89089028054177,0.027678278666707523,-898.75,30.89027669486693,-0.05376919138602591,-898.75,30.889667199130344,0.09617285351669778
-893.75,30.885531806588624,-0.00523188666951964,-893.75,30.87147447350845,-3.1534565032799256e-05,-893.75,30.87084914727021,-0.08581966302928495,-893.75,30.870227854039836,0.022559488313668098,-893.75,30.869610705971372,0.09891779762617985
-888.75,30.865509406276843,0.025428956067804903,-888.75,30.851544689526264,0.10967817014338932,-888.75,30.850911474564903,0.05276672932269976,-888.75,30.850282346325326,0.009367336150376573,-888.75,30.849657419664442,-0.11146902425039365
-883.75,30.84559274126829,-0.04522520473544378,-883.75,30.831720345713546,0.03949335490362585,-883.75,30.83107911049643,-0.07284779280638333,-883.75,30.83044201686435,0.007745460393828678,-883.75,30.829809182455364,-0.06466173173558508
-878.75,30.82578355187846,-0.023559389676906264,-878.75,30.81200318116919,-0.05877184103593478,-878.75,30.811353791118194,-0.007839479252924927,-878.75,30.81070859869769,-0.06205267403405425,-878.75,30.810067724407986,0.03818252855714264
-873.75,30.806083471726915,0.032797097041098525,-873.75,30.79239482819904,0.09439320637889848,-873.75,30.791737145603342,0.016739559462917657,-873.75,30.791083717899994,-0.023582200777457533,-873.75,30.7904346685353,0.018503930515025847
-868.75,30.78649403264623,-0.008047417909007572,-868.75,30.77289681722183,-0.04783000708069946,-868.75,30.772230701147794,0.03246077139016235,-868.75,30.77156889847969,-0.04171012515967664,-868.75,30.770911535696563,-0.07614882574488023
-863.75,30.76701666936753,-0.0522869880089237,-863.75,30.75351058145213,0.05537034256476943,-863.75,30.75283588764999,0.045900131348043466,-863.75,30.752165567055663,-0.027823076844164005,-863.75,30.751499749270845,0.02831159021159065
-858.75,30.7476527239925,-0.013204154124264376,-858.75,30.73423746136914,0.046658278942324855,-858.75,30.733554042176358,-0.03841898549439429,-858.75,30.73287505731968,0.024025624370435997,-858.75,30.732200639616302,0.00111214904808319
-853.75,30.728403450263638,-0.06225367490847253,-853.75,30.715078708983814,-0.017021080327804246,-853.75,30.71438641322518,-0.049603836233819976,-853.75,30.713698614296483,0.032246950956020086,-853.75,30.71301544832699,-0.0441162520158598
-848.75,30.709270017639557,0.027903883132631133,-848.75,30.696035491911033,0.024259963480762994,-848.75,30.69533416479483,-0.06166116835321655,-848.75,30.694637398409053,0.04901059028299676,-848.75,30.693945332294632,0.0074065237304625125
-843.75,30.690253515186555,0.048493922313452814,-843.75,30.677108897257536,0.005533008550070612,-843.75,30.67639838026848,-0.054454455444665976,-843.75,30.675692489359175,-0.05547606722627518,-843.75,30.674991367585665,-0.09484515003239385
-838.75,30.67135495529339,0.033777160287711355,-838.75,30.658299935333115,0.026603564864669207,-838.75,30.65758006612109,0.0007400204556899826,-838.75,30.656864889830906,0.016792362093860907,-838.75,30.656154553140965,-0.05188666985479512
-833.75,30.652575277218343,0.06533789818699073,-833.75,30.639609543194066,-0.03995179511137445,-833.75,30.638880155458786,0.025510910559584217,-833.75,30.638155529025934,-0.08400689830416433,-833.75,30.63743581430731,-0.1088577969741703
-828.75,30.63391535047575,0.0023263466510957047,-828.75,30.62103858802556,0.037191918803760285,-828.75,30.620299511397242,0.0727337211577063,-828.75,30.619565266037803,0.008453727089226174,-828.75,30.61883600620756,-0.028063621007703356
