"Simulation 1 x [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 gcorr [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 1 noise [R = 75m, d = 25m, Regolith = 2m, H = 10m]","Simulation 2 x [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 gcorr [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 2 noise [R = 75m, d = 30m, Regolith = 2m, H = 20m]","Simulation 3 x [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 gcorr [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 3 noise [R = 75m, d = 35m, Regolith = 2m, H = 30m]","Simulation 4 x [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 gcorr [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 4 noise [R = 75m, d = 40m, Regolith = 2m, H = 40m]","Simulation 5 x [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 gcorr [R = 75m, d = 45m, Regolith = 2m, H = 50m]","Simulation 5 noise [R = 75m, d = 45m, Regolith = 2m, H = 50m]"
-613.75,29.976709637556013,0.023681883054644418,-613.75,29.956255651163264,-0.00959737711814456,-613.75,29.935918323895432,0.005285316517921073,-613.75,29.915700538197246,-0.03010767427186374,-613.75,29.895605129040824,-0.004564903519591458
-608.75,29.96363828956469,0.07908281583644622,-608.75,29.943127458968,-0.029245790378485265,-608.75,29.92273545592363,-0.046511416318520994,-608.75,29.902465229445273,-0.028947194239717797,-608.75,29.88231967935577,-0.019667274161202387
-603.75,29.950688313450147,0.009772621033983388,-603.75,29.930119014640386,-0.020222114047624973,-603.75,29.909670766980927,-0.10941302082274058,-603.75,29.889346588363964,-0.07559140312784969,-603.75,29.869149445696593,0.0090950425651359
-598.75,29.937859347417938,0.006410411496114363,-598.75,29.91722990422083,0.11044505461583537,-598.75,29.896723792844305,0.023343969077020722,-598.75,29.876344102473638,-0.03035823318904667,-598.75,29.856093869434783,0.05513385460419559
-593.75,29.925151023397362,0.004786538408718129,-593.75,29.904459705260123,-0.04227630109698617,-593.75,29.883894058670787,-0.006635705488258959,-593.75,29.863457246633278,-0.01986997578902845,-593.75,29.84315237733353,-0.04590597582595901
-588.75,29.912562967370878,-0.0011958814694747672,-588.75,29.89180798703643,0.03123710675747739,-588.75,29.87118107910652,0.05815946688742029,-588.75,29.850685483046295,0.04078435720308578,-588.75,29.83032438145546,0.0448967292749091
-583.75,29.90009479968342,0.06727077793371675,-583.75,29.87927431074568,-0.15559426072144308,-583.75,29.858584358362656,-0.07111219761803304,-583.75,29.838028261227198,0.04506847982014243,-583.75,29.817609279025454,-0.0017532653310506228
-578.75,29.887746135334563,-0.02450235774263112,-578.75,29.866858229667365,0.00691546400873781,-578.75,29.84610339025997,-0.04176977780242473,-578.75,29.82548501793034,-0.03837108850553303,-578.75,29.805006452249508,0.0037354494603784693
-573.75,29.87551658425207,0.06678451628669996,-573.75,29.85455928930424,0.0107955763629052,-573.75,29.833737658239983,-0.019641784914739127,-573.75,29.813055177038205,0.007507853576792155,-573.75,29.79251526808633,-0.024881328993167372
-568.75,29.86340575154899,0.10498532422154974,-568.75,29.842377027497406,-0.11447096882323447,-568.75,29.821486635343597,-0.029391384926896264,-568.75,29.800738149409913,-0.05346714829541582,-568.75,29.78013507797235,-0.004118806296035771
-563.75,29.85141323776481,0.030728787603194738,-563.75,29.830310974516724,0.057867692954516305,-563.75,29.809349784156773,-0.018549697014236182,-563.75,29.78853333268852,-0.03651732407826352,-563.75,29.767865217497793,-0.02167859724803563
-558.75,29.83953863909151,-0.01777018811818355,-558.75,29.818360653126664,0.04325984732305171,-558.75,29.79732655672263,0.007517737640191801,-558.75,29.77644011106656,-0.026359865814555322,-558.75,29.755705006033264,-0.006642943355397138
-553.75,29.827781547585175,0.040534658874291064,-553.75,29.80652557862783,-0.030199008236681913,-553.75,29.78541639441969,0.025796428169865628,-553.75,29.764457855008306,0.01101882325998308,-553.75,29.743653746303977,-0.0343482737048079
-548.75,29.816141551364325,-0.017738582683762077,-548.75,29.794805258874405,-0.03566205836777124,-548.75,29.773618727805715,-0.059070962190312895,-548.75,29.752585920928087,-0.06192394705149671,-548.75,29.731710723911398,0.057209462992196515
-543.75,29.80461823479603,-0.013622565594752068,-543.75,29.783199194267947,-0.019714236646113468,-543.75,29.76193297642688,0.025240613823711747,-543.75,29.740823650823415,-0.06183641878146371,-543.75,29.719875206799447,-0.002411353537872697
-538.75,29.793211178670635,0.10742703020535388,-538.75,29.771706877727343,0.019547152423300677,-538.75,29.75035854859138,0.06804330562348235,-538.75,29.72917037186127,0.027741742130571647,-538.75,29.70814644466335,0.02563300372188705
-533.75,29.781919960366164,-0.0351310448289577,-533.75,29.760327794635376,-0.09750477489766188,-533.75,29.738894841106948,0.0670582540703623,-533.75,29.717625395916325,0.005601174253002807,-533.75,29.696523668299438,0.06973033565015799
-528.75,29.770744154004404,0.005438802823900392,-528.75,29.749061422762562,-0.1064050087531448,-528.75,29.727541238982006,0.05256632616264868,-528.75,29.706188019060047,-0.07427714713257595,-528.75,29.685006088893086,0.004973588019744758
-523.75,29.759683330598882,-0.02187553981355546,-523.75,29.737907232167885,-0.055615555086912766,-523.75,29.716297115089226,-0.049462862749040354,-523.75,29.694857520998056,-0.10475029817978676,-523.75,29.67359289724282,0.022324226280891202
-518.75,29.748737058197595,0.08124833093898967,-518.75,29.726864685077583,0.02832907169842367,-518.75,29.705161829791365,0.03600273554892579,-518.75,29.683633164455255,0.006369431317201664,-518.75,29.662283262917054,-0.06511023569948439
-513.75,29.737904902021484,0.01862193363740832,-513.75,29.71593323574231,0.03128576317327104,-513.75,29.69413473052868,-0.00999157679036111,-513.75,29.67251419450629,0.03600527063384647,-513.75,29.65107633334226,-0.027920629044216317
-508.75,29.727186424601204,-0.04499655779270045,-508.75,29.70511233027341,-0.10147350464287955,-508.75,29.68321515136736,0.025929450757028977,-508.75,29.661499837850023,-0.05684452138338736,-508.75,29.63997123281832,0.12079037034539908
-503.75,29.71658118591426,-0.059228514765353825,-503.75,29.694401406459324,0.038733698252289325,-503.75,29.672402412508504,0.10194296788875079,-503.75,29.65058930202602,-0.029602265411497432,-503.75,29.628967061459065,0.0289051869901936
-498.75,29.70608874352578,0.017074098357326005,-498.75,29.683799893563517,0.0077639206168005626,-498.75,29.661695819757682,0.1037091573741321,-498.75,29.639781774571762,0.06054354756038321,-498.75,29.61806289405448,-0.08901123268642
-493.75,29.69570865273579,-0.08609816578629967,-493.75,29.673307212105215,0.04291259325262171,-493.75,29.651094663954748,-0.04661700423136399,-493.75,29.62907642211876,-0.0010794267228912842,-493.75,29.60725777885207,-0.009899076233660315
-488.75,29.685440466737084,-0.06778362274139135,-488.75,29.66292277362527,0.007237834589930427,-488.75,29.640598220364232,0.014544204807068301,-488.75,29.618472389426206,0.056368796819230564,-488.75,29.59655073625441,-0.04881383845404293
-483.75,29.675283736788053,0.029446362703951026,-483.75,29.652645980439345,-0.12183587825050385,-483.75,29.63020574802705,-0.005142751558895615,-483.75,29.60796879835113,-0.050110586492802645,-483.75,29.585940757429448,-0.0009677047205296275
-478.75,29.66523801240613,-0.04571776717650929,-478.75,29.642476225382115,0.014437854340784192,-478.75,29.619916489074626,-0.02847424740638473,-478.75,29.597564746754223,-0.015006536674524736,-478.75,29.57542680283191,-0.0028109958676263164
-473.75,29.65530284158767,0.012061124602624306,-473.75,29.63241289154559,-0.06717944118700317,-473.75,29.60972966800679,-0.05050535813562486,-473.75,29.587259307340524,0.010255780030216348,-473.75,29.56500780063289,0.008904466958541468
-468.75,29.6454777710623,0.004922717509683884,-468.75,29.622455352017504,-0.009312828408423462,-468.75,29.59964449093662,0.03537671308100541,-468.75,29.577051526436186,0.060956635277253014,-468.75,29.55468264505583,-0.04788750131414018
-463.75,29.63576234659049,-0.02620778915997072,-463.75,29.612602969625286,-0.056798092394603206,-463.75,29.589660144805208,0.03819269639328901,-463.75,29.56694042270141,0.04926912024638303,-463.75,29.544450194618264,-0.025919309899773476
-458.75,29.62615611331454,-0.0478282752093407,-458.75,29.602855096693116,0.03482165505114935,-458.75,29.5797757965712,-0.06850864544073523,-458.75,29.556924985781883,-0.008943293712287836,-458.75,29.534309270277703,0.0679124398272297
-453.75,29.616658616176956,0.00147609363586802,-453.75,29.593211074822467,0.028511199195653154,-453.75,29.569990592381973,-0.004842027518964239,-453.75,29.547004174903016,0.01007296878376764,-453.75,29.52425865348447,-0.00677057815923187
-448.75,29.60726940042015,0.019257212325330286,-448.75,29.58367023470673,-0.009003348262995061,-448.75,29.560303656734195,0.042251044809987835,-448.75,29.53717691741112,-0.07683943693604144,-448.75,29.514297084142218,0.1193938271357311
-443.75,29.59798801218656,0.03854045220035835,-443.75,29.574231895995084,-0.021063319297763516,-443.75,29.550714091634845,-0.07140213233402702,-443.75,29.527442107269597,0.09977546048584991,-443.75,29.504423258481122,-0.12286301037159286
-438.75,29.58881399924204,-0.07677278618672032,-438.75,29.564895367224217,0.07170843490142088,-438.75,29.541220975777737,0.0702849626307732,-438.75,29.517798603521296,-0.01838310946008523,-438.75,29.49463582685201,-0.02315037412269201
-433.75,29.579746911847355,-0.055492831846598825,-433.75,29.555659945838137,0.06152797855891086,-433.75,29.531823363751155,-0.044210085366203855,-433.75,29.50824522872901,0.00019644508349341428,-433.75,29.484933391449406,0.01625156589820242
-428.75,29.570786303813133,0.031134511075541216,-428.75,29.54652491832674,0.08111540295518427,-428.75,29.522520285303,0.015154174169045145,-428.75,29.498780767415962,0.048818553613595876,-428.75,29.475314503981647,-0.0704101416180518
-423.75,29.56193173377463,-0.05089900457771449,-423.75,29.53748956051379,-0.016257194017047654,-423.75,29.513310744688976,0.02203113870717126,-423.75,29.489403964527433,-0.03997701377297229,-423.75,29.4657776633058,0.08653758652995364
-418.75,29.553182766737383,-0.05495493058675863,-418.75,29.528553138040213,-0.014973424291414817,-418.75,29.50419372014427,0.02952029858601409,-418.75,29.48011352394917,-0.036136770364274914,-418.75,29.456321313057153,-0.0740495317191897
-413.75,29.54453897595042,0.031131309098452378,-413.75,29.519714907092524,0.012116267967365113,-413.75,29.49516816352306,-0.00514053223039538,-413.75,29.4709081071216,0.047092600397882996,-413.75,29.446943839309625,0.025804546824613125
-408.75,29.53599994518006,-0.01792939366478588,-408.75,29.51097411544333,-0.01400223662617451,-408.75,29.48623300016658,0.05110400090779768,-408.75,29.461786331804923,0.043160060754960955,-408.75,29.437643568315803,0.011848426713179292
-403.75,29.52756527147345,0.02555811607564746,-403.75,29.502330003885735,-0.030897564520550244,-403.75,29.47738712907486,-0.011996603911803802,-403.75,29.452746771064742,0.004048841702108857,-403.75,29.42841876439183,0.00043624391186106973
-398.75,29.51923456852045,-0.005604455514453842,-398.75,29.493781808162872,0.05447033634844131,-398.75,29.468629423476635,-0.00025505639412660134,-398.75,29.443787952566026,0.04334247956722109,-398.75,29.41926762802945,0.06068954825125577
-393.75,29.51100747075063,0.057888389135914264,-393.75,29.48532876152116,0.016264601747489685,-393.75,29.459958731918906,-0.04143550776331137,-393.75,29.434908358290883,0.0789122177840299,-393.75,29.41018829434562,0.029769694330070873
-388.75,29.502883638334872,0.05715642617630871,-388.75,29.476970098048636,0.00473269911895142,-388.75,29.45137388002952,-0.000983693936931866,-388.75,29.42610642482671,0.0248474097347368,-388.75,29.401178832009684,0.03541387722531385
-383.75,29.49486276330219,-0.06367524339506658,-383.75,29.468705057000257,0.01178595986289783,-383.75,29.442873673147343,-0.021414547377087784,-383.75,29.417380544412605,-0.020383845848356633,-383.75,29.39223724283212,-0.07054255184492135
-378.75,29.486944577038738,0.016552634038425936,-378.75,29.460532888368267,-0.0007022899387634732,-378.75,29.434456900069954,0.009726365540455521,-378.75,29.408729066987387,-0.03644979916461366,-378.75,29.383361462251255,0.07142245602489078
-373.75,29.479128859504122,-0.0299743985201479,-373.75,29.45245286002398,0.0573590222473298,-373.75,29.42612233823775,-0.02022805903005756,-373.75,29.40015030355174,-0.021147070556403774,-373.75,29.374549361027224,0.09648321019144067
-368.75,29.470655825771672,-0.04890574731475233,-368.75,29.443705255373764,0.03152083018109928,-368.75,29.41711037196473,-0.05266200246332375,-368.75,29.390884773850978,-0.03781686825309851,-368.75,29.365041630658258,-0.09762274049245528
-363.75,29.461523708955262,0.014110313924846405,-363.75,29.434287815649018,0.03629011192352339,-363.75,29.407418276476307,0.017246350875546976,-363.75,29.380929315665856,-0.00492236333619919,-363.75,29.35483470257046,0.08889357135692533
-358.75,29.4524915425719,0.00497887982624106,-358.75,29.424958378597125,-0.06803875026692034,-358.75,29.39780271165132,0.11086804106022602,-358.75,29.371039432525194,-0.04214586629593556,-358.75,29.344682948918884,-0.07878387239140638
-353.75,29.443559390549844,0.04261018752090242,-353.75,29.41571635740806,0.031358247842573454,-353.75,29.388262468953936,0.011552305819466204,-353.75,29.361213326525974,0.041471653763398196,-353.75,29.33458401794866,-0.007071960199825563
